SensorID,Radiation,PositionX,PositionY,PositionZ
302,1.39436e-16,305.556,670,250.444
303,2.28755e-16,305.556,670,286.222
305,2.22695e-16,305.556,781.667,71.5556
306,2.26282e-16,305.556,781.667,107.333
307,1.01413e-09,305.556,781.667,143.111
308,8.5156e-10,305.556,781.667,178.889
309,2.92965e-16,305.556,781.667,214.667
310,1.83035e-16,305.556,781.667,250.444
311,1.15244e-16,305.556,781.667,286.222
313,2.78401e-16,305.556,893.333,71.5556
314,6.69802e-11,305.556,893.333,107.333
315,6.31516e-10,305.556,893.333,143.111
316,9.37592e-10,305.556,893.333,178.889
317,6.79215e-10,305.556,893.333,214.667
318,3.84789e-16,305.556,893.333,250.444
319,3.75323e-16,305.556,893.333,286.222
321,2.32725e-17,366.667,111.667,71.5556
322,2.4154e-17,366.667,111.667,107.333
323,6.15771e-17,366.667,111.667,143.111
324,9.98036e-17,366.667,111.667,178.889
325,2.20929e-17,366.667,111.667,214.667
326,1.05269e-17,366.667,111.667,250.444
327,2.75792e-17,366.667,111.667,286.222
329,6.56338e-17,366.667,223.333,71.5556
330,3.66241e-17,366.667,223.333,107.333
331,2.07338e-17,366.667,223.333,143.111
332,7.07962e-17,366.667,223.333,178.889
333,1.29109e-16,366.667,223.333,214.667
334,5.28076e-17,366.667,223.333,250.444
335,4.19796e-17,366.667,223.333,286.222
337,5.36998e-17,366.667,335,71.5556
338,5.97662e-17,366.667,335,107.333
339,6.3003e-17,366.667,335,143.111
340,6.67226e-17,366.667,335,178.889
341,8.66048e-17,366.667,335,214.667
342,3.08121e-17,366.667,335,250.444
343,5.47168e-17,366.667,335,286.222
345,8.91631e-17,366.667,446.667,71.5556
346,3.42321e-17,366.667,446.667,107.333
347,6.31262e-17,366.667,446.667,143.111
348,1.45445e-16,366.667,446.667,178.889
349,8.9583e-17,366.667,446.667,214.667
350,5.83203e-17,366.667,446.667,250.444
351,8.84478e-17,366.667,446.667,286.222
353,8.55785e-17,366.667,558.333,71.5556
354,3.94398e-17,366.667,558.333,107.333
355,9.62048e-17,366.667,558.333,143.111
